NOMBRE_ESTADO,ID_DISTRITO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CI,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,TOTAL_VOTOS_CALCULADOS
Aguascalientes,1,62262,23498,7701,11731,7696,6494,48317,3184,2208,9231,0,262,222,452,41,0,0,0,0,223,7006,190528
Aguascalientes,2,64670,10097,3629,3174,2320,6339,41108,2433,1049,2872,0,0,0,0,0,74,13,45,258,232,5001,143314
Aguascalientes,3,101758,12857,2692,3424,1860,7128,38810,2243,975,3108,0,0,0,0,0,91,13,25,183,197,4882,180246
Baja California,1,23651,6410,1134,3178,1960,8432,59257,20582,1632,2650,0,471,160,28,5,267,41,127,207,112,4059,134363
Baja California,2,32136,9237,1461,2713,1816,7999,58174,22197,2273,2546,0,0,0,0,0,0,0,0,0,145,5060,145757
Baja California,3,15956,8875,2056,2623,7616,5337,52844,17317,3907,14696,0,513,117,22,21,667,164,164,723,121,4868,138607
Baja California,4,10322,4825,2155,4001,4431,5480,81138,19177,1692,2558,0,236,73,22,13,0,0,0,0,106,4921,141150
Baja California,5,29449,9673,2135,3645,3135,6540,60352,26436,2421,3085,0,981,183,55,17,0,0,0,0,157,4606,152870
Baja California,6,24368,9707,2095,3668,1956,6103,57298,28160,1688,2667,0,757,180,47,13,0,0,0,0,88,4914,143709
Baja California,7,12331,8018,1565,4236,3006,7050,58113,22148,3142,5993,0,358,113,19,13,268,48,123,294,180,4806,131824
Baja California,8,14277,5969,2335,3092,2063,5109,68282,24246,1517,2546,0,421,96,40,16,492,47,175,328,113,3731,134895
Baja California Sur,1,59218,7859,1548,5070,6583,5900,56609,3822,1665,4254,0,1750,1061,122,21,196,51,115,3197,126,5004,164171
Baja California Sur,2,35240,3511,874,3541,7873,3277,41834,2577,2608,5527,0,918,449,70,12,127,31,72,3417,106,3651,115715
Campeche,1,7051,61847,1810,3072,4450,51026,84232,2015,3189,1529,0,2020,600,32,87,0,0,0,0,90,5330,228380
Campeche,2,13813,45194,1641,2551,3205,28966,88485,1531,1761,821,0,1549,721,39,76,0,0,0,0,43,5678,196074
Coahuila de Zaragoza,1,20654,55528,962,8550,12367,3027,65537,1735,1001,2415,0,0,0,0,0,67,24,94,144,98,3602,175805
Coahuila de Zaragoza,2,18404,75847,1930,12424,1417,3234,72825,1904,879,3158,0,0,0,0,0,53,18,141,113,88,4250,196685
Coahuila de Zaragoza,3,53858,60769,1004,1553,870,5193,53312,1069,550,8588,0,0,0,0,0,61,9,40,126,44,3418,190464
Coahuila de Zaragoza,4,20459,90787,1340,4682,1076,3903,55845,1286,505,1449,0,0,0,0,0,223,19,173,185,61,3956,185949
Coahuila de Zaragoza,5,43303,74205,1038,1724,915,1695,61433,611,635,1438,0,0,0,0,0,123,8,83,186,77,3090,190564
Coahuila de Zaragoza,6,21310,79712,2435,6221,2543,2082,62581,995,691,5409,0,0,0,0,0,93,31,113,147,53,3728,188144
Coahuila de Zaragoza,7,12681,79397,6213,3362,1913,4363,60421,1412,768,4851,0,0,0,0,0,0,0,0,0,83,4773,180237
Colima,1,19558,26237,1394,20160,3931,28765,45758,3610,1699,4515,0,2015,406,21,29,0,0,0,0,139,4607,162844
Colima,2,12111,15539,906,30126,3342,9584,45746,5557,1439,5022,0,1110,337,43,28,0,0,0,0,151,3811,134852
Chiapas,1,2499,8954,2828,59601,9397,4214,68885,9637,13149,2361,0,189,55,18,16,391,106,279,149,48,13657,196433
Chiapas,10,6328,44725,12591,43841,3011,2702,43349,14607,2773,4288,0,277,83,32,81,30,34,57,55,18,15635,194517
Chiapas,11,851,3280,986,60315,21170,2921,74083,4040,4675,1336,0,22,7,10,8,0,0,0,0,18,8217,181939
Chiapas,12,9805,19754,6832,37628,11283,5397,72112,10728,6440,2493,0,798,207,66,79,0,0,0,0,70,11880,195572
Chiapas,13,3727,64436,3342,17932,5634,5871,41903,10085,6249,2991,0,448,106,23,49,98,46,82,135,298,13662,177117
Chiapas,2,10124,13116,6187,38606,6842,9962,65487,6207,4802,4212,0,920,205,62,51,706,77,267,270,162,10408,178673
Chiapas,3,6731,12739,1572,29007,12895,3716,68129,12695,11198,3065,0,546,155,36,27,214,107,231,158,86,7092,170399
Chiapas,4,3294,22781,1877,26598,15392,5127,61715,6544,3763,2760,0,524,142,33,83,202,94,128,173,867,9988,162085
Chiapas,5,12382,18309,2348,2434,3303,14612,59914,4573,6542,2404,0,1928,391,85,77,624,57,148,431,244,6587,137393
Chiapas,6,3509,12840,2222,48049,7287,4600,65169,15211,3465,2201,0,221,56,17,23,110,102,185,76,50,10944,176337
Chiapas,7,1678,9070,3896,19037,18553,2340,51405,26254,2496,1731,0,252,18,19,36,19,36,42,59,52,13776,150769
Chiapas,8,6998,20108,1488,20835,10974,3950,70041,8758,4775,1884,0,895,218,40,51,0,0,0,0,107,7457,158579
Chiapas,9,3764,14524,3645,31395,25787,3036,44768,15494,8599,1447,0,371,89,30,140,238,71,91,108,88,11317,165002
Chihuahua,1,20762,8207,942,3807,2459,8822,63896,2711,944,1991,0,127,87,41,12,0,0,0,0,84,3925,118817
Chihuahua,2,25077,14678,2316,6724,2517,10691,49733,3166,832,2434,0,337,219,118,18,134,20,112,440,51,4399,124016
Chihuahua,3,18496,7383,722,3060,2462,7624,52527,2776,839,1955,0,66,109,62,6,101,25,55,678,101,3553,102600
Chihuahua,4,58596,13487,948,3775,2446,10326,57135,3221,1614,2394,0,293,180,92,4,143,18,58,587,173,3981,159471
Chihuahua,5,75145,22853,3774,4645,4250,18891,29114,4214,1002,1260,0,285,373,170,23,40,19,36,277,56,5423,171850
Chihuahua,6,124009,12308,1294,4217,2015,11788,43010,2865,740,1504,0,0,0,0,0,0,0,0,0,107,4274,208131
Chihuahua,7,51010,29306,2075,3386,1943,11547,32127,2799,1482,1230,0,267,530,88,22,87,17,47,243,23,6809,145038
Chihuahua,8,78315,10829,1694,4662,2678,11025,48474,2974,1126,1611,0,0,0,0,0,203,40,130,556,80,4219,168616
Chihuahua,9,35291,44092,1602,3492,2646,23886,25409,5671,1152,1729,0,142,542,108,36,52,23,54,171,62,7940,154100
Ciudad de México,1,18996,14757,8971,4558,2927,4193,73175,4085,1778,2911,0,837,169,60,56,0,0,0,0,211,5370,143054
Ciudad de México,10,51402,29838,15711,5219,4530,6085,70059,2998,1555,3366,0,2076,408,101,93,282,43,102,793,259,5188,200108
Ciudad de México,11,55752,25985,4533,6111,3340,4948,78366,4049,1827,11213,0,2240,420,89,51,541,30,169,779,214,5385,206042
Ciudad de México,12,19665,15398,4116,3795,4772,4553,60795,3437,1175,2699,0,967,197,43,42,361,41,119,1139,148,3978,127440
Ciudad de México,13,42791,19830,4281,2706,2198,11299,48945,1663,1005,6696,0,1853,307,74,45,236,18,62,714,189,4106,149018
Ciudad de México,14,55883,36340,5262,4608,6103,5770,53164,3739,1345,5104,0,2206,450,95,78,0,0,0,0,195,5998,186340
Ciudad de México,15,30171,27388,18048,4716,3519,5881,81197,3113,1779,4026,0,1853,304,78,121,0,0,0,0,211,5952,188357
Ciudad de México,16,24891,28912,5407,3154,3082,4637,58078,3703,1989,2573,0,1637,313,64,95,250,31,72,744,245,4843,144720
Ciudad de México,17,14352,22234,8190,7988,4485,4162,59829,4449,1477,3156,0,1028,233,68,380,0,0,0,0,151,5609,137791
Ciudad de México,18,86850,18626,2972,3059,3539,9080,60106,1726,1049,2227,0,1867,435,102,39,671,80,184,760,198,3631,197201
Ciudad de México,19,32676,25693,10533,3602,3012,6563,74398,2452,1157,3252,0,2195,278,108,86,0,0,0,0,228,5227,171460
Ciudad de México,2,46700,29166,4662,3117,2289,5400,52173,2339,1178,3166,0,2235,374,62,63,0,0,0,0,318,4753,157995
Ciudad de México,20,42779,25124,9897,11948,2963,6070,70842,3584,1798,4840,0,1218,278,95,134,282,34,128,721,265,5085,188085
Ciudad de México,21,35523,18383,3503,3783,2822,11341,56656,2030,1125,5984,0,1365,281,54,51,0,0,0,0,243,5132,148276
Ciudad de México,22,142519,23558,3728,2336,1917,6565,46392,1492,835,1957,0,2181,567,112,52,257,14,60,544,276,3806,239168
Ciudad de México,23,47069,24385,14072,4315,2836,5915,60216,2649,1052,4259,0,2491,427,159,119,486,53,127,572,209,4892,176303
Ciudad de México,24,52585,46599,7911,6838,2969,5299,54365,3964,1751,3931,0,2163,465,115,166,346,55,154,578,128,4919,195301
Ciudad de México,3,36868,23097,8580,7974,3295,6328,66453,2721,1125,2541,0,1645,299,80,71,0,0,0,0,279,5704,167060
Ciudad de México,4,21543,18010,7532,5333,3238,4652,71656,2944,1058,2371,0,1052,217,46,57,0,0,0,0,148,5198,145055
Ciudad de México,5,14461,15328,10974,4329,3607,4418,65956,2227,1105,2133,0,808,165,53,67,300,31,114,959,135,3945,131115
Ciudad de México,6,17426,25540,2810,6872,5212,5840,66578,4493,2041,4845,0,1260,286,53,65,0,0,0,0,187,6402,149910
Ciudad de México,7,7802,9324,6218,4054,3002,3206,66910,2759,809,1818,0,434,115,36,58,0,0,0,0,96,4817,111458
Ciudad de México,8,59430,24473,14322,3696,4013,8331,73794,2352,1201,3441,0,2931,454,189,114,281,33,97,914,236,5418,205720
Ciudad de México,9,68724,27182,5181,6043,3892,6100,61922,2296,1213,3332,0,2817,479,102,55,0,0,0,0,235,4993,194566
Durango,1,31727,37368,2033,8150,4692,4968,41992,2318,3203,1952,0,1196,1024,56,48,155,39,119,877,79,4270,146266
Durango,2,16214,35341,1372,3739,2034,3915,65853,2142,784,1502,0,1054,654,31,50,297,45,241,454,85,3174,138981
Durango,3,20445,35742,5032,16889,4023,5204,45808,2322,3608,1724,0,895,491,61,77,218,78,177,643,49,3888,147374
Durango,4,31859,23692,1718,2083,5417,15375,32696,2982,14110,3338,0,1431,795,64,37,229,41,61,1259,129,4024,141340
Guanajuato,1,43911,30284,6625,6913,3077,2262,23911,4582,2960,5606,0,0,0,0,0,0,0,0,0,131,6878,137140
Guanajuato,10,42933,21391,3378,6304,7540,6433,31691,4374,1568,4315,0,0,0,0,0,0,0,0,0,107,4947,134981
Guanajuato,11,99667,10498,1114,4890,872,5197,25927,1005,590,953,0,0,0,0,0,0,0,0,0,91,2684,153488
Guanajuato,12,55770,12186,1878,17240,3115,4013,18197,1406,5519,2502,0,0,0,0,0,0,0,0,0,94,4378,126298
Guanajuato,13,72977,11045,994,4831,1033,4114,29142,1455,574,1310,0,0,0,0,0,0,0,0,0,77,2893,130445
Guanajuato,14,79939,10103,1039,4744,946,4169,30050,1075,599,1016,0,0,0,0,0,0,0,0,0,96,2790,136566
Guanajuato,15,58653,26453,1531,8245,996,4603,22745,871,369,563,0,0,0,0,0,0,0,0,0,41,3235,128305
Guanajuato,2,47317,7775,9293,7741,5032,12253,50531,2135,4295,4229,0,252,102,63,68,0,0,0,0,150,4658,155894
Guanajuato,3,50875,14355,1291,4331,1160,3850,34454,1567,1171,1666,0,0,0,0,0,0,0,0,0,101,2911,117732
Guanajuato,4,39487,21201,5445,14023,1911,12324,41064,3743,2640,1517,0,0,0,0,0,0,0,0,0,89,4563,148007
Guanajuato,5,66851,9615,1293,4368,956,3792,29026,1100,726,1231,0,0,0,0,0,0,0,0,0,84,2587,121629
Guanajuato,6,56265,14286,2336,5841,4550,5574,44108,2051,1174,2038,0,0,0,0,0,0,0,0,0,110,3670,142003
Guanajuato,7,46290,24483,2814,7132,2087,7037,38644,2159,8939,3317,0,0,0,0,0,27,15,33,60,60,4649,147746
Guanajuato,8,42847,20434,3462,9823,3497,7969,30445,4913,2124,2529,0,0,0,0,0,0,0,0,0,212,5455,133710
Guanajuato,9,48051,10831,1601,2730,1095,4503,37419,1160,1142,1184,0,0,0,0,0,0,0,0,0,168,2988,112872
Guerrero,1,1028,50317,24561,1061,4770,5106,59368,1139,860,915,0,357,66,29,973,98,82,108,169,12,4748,155767
Guerrero,2,16269,37118,21331,7125,5900,3967,53567,2973,3020,8834,0,0,0,0,0,0,0,0,0,62,6782,166948
Guerrero,3,1853,39759,33822,3447,2357,3218,84543,4934,2302,1221,0,205,56,28,1136,80,28,88,123,35,5333,184568
Guerrero,4,2938,34327,6681,2291,1622,9354,82749,2522,1396,3124,0,337,59,15,844,0,0,0,0,96,5150,153505
Guerrero,5,3413,36742,17341,8914,27703,9331,56220,5279,1848,1264,0,156,51,39,399,573,79,59,310,4179,8171,182071
Guerrero,6,6484,41875,49624,4169,4105,3751,51345,2243,2128,823,0,91,94,121,1160,46,33,58,84,82,7159,175475
Guerrero,7,6514,47500,9286,2451,4734,2480,70073,1886,1656,1727,0,695,349,53,1202,123,39,66,214,99,5102,156249
Guerrero,8,5415,35502,21931,19770,5652,2824,60003,4033,1359,1974,0,140,90,49,703,53,162,309,164,21,7192,167346
Guerrero,9,2437,44321,5490,2607,2155,3154,68008,2595,1445,1951,0,233,80,25,958,0,0,0,0,45,4852,140356
Hidalgo,1,13805,48466,4740,3711,3532,2227,57922,15150,3366,2013,0,355,381,76,113,198,92,110,265,41,6734,163297
Hidalgo,2,14770,30596,7125,2740,5594,2111,65616,3250,3404,2849,0,551,305,79,120,421,82,127,434,60,6043,146277
Hidalgo,3,6140,40734,7024,3546,2717,2319,63946,2455,1932,2419,0,564,165,43,112,0,0,0,0,64,5450,139630
Hidalgo,4,7286,36710,4609,2711,2108,3771,54560,2340,2033,3132,0,632,309,62,137,385,61,151,355,121,4888,126361
Hidalgo,5,19612,31295,4608,7412,2465,4202,69969,2109,3130,3315,0,1861,568,258,151,934,68,445,351,54,4991,157798
Hidalgo,6,13809,54687,2118,2561,2671,5366,75585,2137,1688,3639,0,1203,487,38,87,524,22,154,501,127,4563,171967
Hidalgo,7,9184,44323,2425,2555,2090,2843,65984,1696,2543,2463,0,890,310,26,58,0,0,0,0,93,4338,141821
Jalisco,1,33833,33096,1964,5256,5487,47463,31901,3242,1089,2474,0,249,126,23,12,121,11,24,56,43,4179,170649
Jalisco,10,41485,14083,637,7986,887,49948,19621,3404,1896,1900,0,113,111,14,7,0,0,0,0,101,3508,145701
Jalisco,11,56883,29530,1101,5786,1367,40436,18916,4453,601,6794,0,286,293,27,20,0,0,0,0,99,5154,171746
Jalisco,12,18185,15907,823,2877,1289,45656,34090,3249,1134,2863,0,455,173,8,8,78,19,39,146,122,3253,130374
Jalisco,13,8558,10715,1346,20656,1338,40968,49577,2988,1663,1452,0,262,47,9,9,71,23,135,121,75,3518,143531
Jalisco,14,25918,16497,828,2992,1304,63036,34158,3152,1018,3011,0,700,193,8,7,63,7,123,118,220,3331,156684
Jalisco,15,10244,21390,778,3872,2626,22195,31217,3234,1209,2796,0,280,125,9,13,160,16,42,123,198,2851,103378
Jalisco,16,35762,23877,1220,2744,1125,72639,34907,2652,968,4133,0,1187,267,26,15,102,11,40,148,134,4157,186114
Jalisco,17,14160,14854,1065,3168,1443,40058,40571,3041,1053,3353,4097,339,164,6,19,89,17,73,185,142,3922,131819
Jalisco,18,38734,14912,828,2015,742,70358,23685,1891,874,2024,0,1051,270,28,7,71,7,20,130,134,2909,160690
Jalisco,19,17592,17607,950,3462,1558,45841,42672,5351,1214,4068,0,541,206,15,13,133,16,78,176,122,3943,145558
Jalisco,2,20871,10403,1628,2903,3145,52851,40229,4471,1370,2204,0,620,111,25,14,150,9,28,119,125,3142,144418
Jalisco,20,26359,14565,816,2660,1073,47544,31174,2835,1336,2537,0,716,203,17,8,198,13,33,133,110,2920,135250
Jalisco,3,23092,18647,1245,3688,1349,51669,40568,3465,1145,3775,0,748,228,26,19,105,22,83,150,131,4170,154325
Jalisco,4,22513,28563,997,4210,3688,44958,36035,5563,6793,4233,0,306,134,20,16,79,14,26,84,143,4008,162383
Jalisco,5,15976,17860,1747,2729,2442,31041,39047,4799,1894,2362,0,450,150,13,21,68,15,42,148,88,3178,124070
Jalisco,6,19876,22106,881,15836,2722,45730,34661,5622,807,6657,0,116,71,11,8,50,14,54,73,61,3946,159302
Jalisco,7,19250,42295,2159,4321,1498,48405,38895,2604,714,3433,0,202,133,25,18,28,10,22,57,95,5082,169246
Jalisco,8,18636,22434,4853,6521,7955,52788,41310,3207,1520,7290,0,389,78,25,21,168,22,44,182,97,5051,172591
Jalisco,9,14775,26246,979,3068,3368,36422,32564,3701,1288,2850,0,208,109,12,7,49,8,29,107,128,3315,129233
México,1,21083,74892,1782,33290,2984,7198,55944,4980,5441,5729,0,1169,415,40,58,90,24,149,337,75,5555,221235
México,10,10830,23650,12468,4546,2956,7701,62468,3780,3989,3618,0,814,93,53,85,197,15,63,400,119,3637,141482
México,11,8848,74673,1391,8667,4835,16369,64766,8067,2940,8415,0,1205,340,32,82,143,23,51,594,93,5373,206907
México,12,27113,45592,2423,4830,2050,6277,57999,3704,4776,3802,0,0,0,0,0,146,17,68,380,121,4157,163455
México,13,33982,56226,2566,6286,4519,3530,57031,3583,4727,4211,0,0,0,0,0,120,17,74,335,227,4202,181636
México,14,17098,33754,7386,8329,1811,7067,57657,3308,6059,4216,0,1117,202,46,93,250,15,89,378,179,3579,152633
México,15,46419,29363,1983,9033,2783,6643,64265,2358,2064,2751,0,2447,660,40,19,0,0,0,0,137,4195,175160
México,16,15993,33057,2766,6327,2170,3542,54810,1990,994,3656,0,0,0,0,0,0,0,0,0,107,3991,129403
México,17,7674,76528,10575,12617,2814,14915,43688,3868,1751,1328,0,1511,508,65,292,0,0,0,0,44,6539,184717
México,18,10568,31548,8398,3037,1635,3102,56439,1789,1106,2668,0,0,0,0,0,0,0,0,0,164,4034,124488
México,19,11296,38560,6291,4494,1898,3472,57216,1844,1570,2786,0,0,0,0,0,0,0,0,0,183,4439,134049
México,2,6624,45281,2010,3837,1716,4285,55693,1774,1168,5875,0,0,0,0,0,232,21,136,331,113,3774,132870
México,20,13127,36401,5502,3998,1795,3776,59877,1877,946,2367,0,0,0,0,0,0,0,0,0,173,4611,134450
México,21,52037,29842,2152,5661,2151,5492,55273,2225,1341,3116,0,1818,520,43,27,204,25,68,433,137,3646,166211
México,22,58781,23442,1968,5509,2168,4850,51853,2357,1552,3995,0,1723,523,62,30,225,62,92,470,100,3652,163414
México,23,12809,37634,3659,2805,3108,3167,60063,2249,921,2206,0,0,0,0,0,356,57,110,627,90,4326,134187
México,24,11337,35272,3984,3294,2757,3468,54189,1992,1108,2172,0,0,0,0,0,0,0,0,0,167,4148,123888
México,25,76587,47566,7214,4646,2900,6036,49466,2819,1251,4593,0,0,0,0,0,0,0,0,0,68,5273,208419
México,26,44579,40873,2094,4615,2173,5094,63486,1912,1208,3518,0,1592,459,46,40,0,0,0,0,162,4573,176424
México,27,14038,24058,7894,2952,1846,28967,60062,1694,832,1759,0,943,140,43,68,0,0,0,0,98,4236,149630
México,28,8480,42822,6957,13288,1982,11075,57669,5397,3879,6543,0,0,0,0,0,0,0,0,0,91,5119,163302
México,29,76344,35249,2483,3860,3782,7664,50568,3056,2368,2858,0,0,0,0,0,0,0,0,0,149,6351,194732
México,3,16546,62636,4778,16501,5676,3029,63760,6304,3032,5182,0,0,0,0,0,0,0,0,0,112,5822,193378
México,30,31686,31635,2064,3887,2642,8582,58452,5252,1505,2963,0,1004,448,48,40,236,38,102,526,126,4514,155750
México,31,3212,44873,1632,2170,1988,2028,57495,1430,714,1574,0,0,0,0,0,0,0,0,0,64,3557,120737
México,32,21202,54358,1999,6204,2443,4537,65495,5195,2264,3554,0,1462,595,54,63,228,48,128,457,120,4591,174997
